int_id,2011change,2012change,2013change,y,x,2010.0,2011.0,2012.0,2013.0
11123.0,,56.03138976194978,,40.7019,-74.00994,1677.0,1882.0,3993.0,2550.0
11131.0,,,1.1719675895334176,40.71079,-74.00277,1010.0,1055.0,1634.0,1251.0
11144.0,,,0.29484475260086773,40.84942,-73.91112,94.0,255.0,599.0,207.0
11166.0,1.063919356583765,,,40.84025,-73.93969,1616.0,1603.0,2012.0,1800.0
1118.0,0.1231437248192031,0.2091897167300707,,40.682390000000005,-73.99588,5109.0,5846.0,6793.0,5786.0
11188.0,0.9708483089162954,,1.1342626305590873,40.74986,-73.93897,1946.0,2299.0,2376.0,2796.0
11205.0,,0.1860176444711208,,40.7082,-73.96594,1027.0,1214.0,1180.0,1280.0
11214.0,0.10716418820235862,,0.8244549634823031,40.71206,-73.95272,3291.0,3669.0,3262.0,4229.0
11220.0,,,0.3236788941608084,40.74051,-73.95226,552.0,557.0,894.0,548.0
11221.0,,,2.6760880629722856,40.68238,-74.00398,2163.0,2263.0,2051.0,2300.0
11224.0,,,1.3115540377336012,40.6752,-73.95,1354.0,1796.0,2798.0,3817.0
11225.0,0.1099990257741228,,,40.75208,-73.88189,1011.0,1008.0,974.0,854.0
11234.0,,0.17914239036361423,,40.77746,-73.90309,704.0,844.0,746.0,737.0
11235.0,0.1293539099393739,,0.15425910911230778,40.743790000000004,-73.88471,1373.0,1424.0,1558.0,1461.0
11241.0,1.0035529247789805,0.36774140377839304,0.5373958844585041,40.65878,-73.96051999999999,1896.0,2201.0,2421.0,2607.0
11243.0,0.3220287994685138,0.25762893024778055,,40.83527,-73.94386999999999,3261.0,3981.0,4631.0,4313.0
11246.0,0.7320964048037499,,0.8272594091156302,40.716359999999995,-73.94012,2539.0,3326.0,2908.0,3606.0
11250.0,0.5379398323142102,1.5631775810977118,,40.68012,-74.00134,1629.0,1686.0,1521.0,1607.0
11252.0,0.41424678540384985,,0.30563011989324185,40.70749,-73.94152,3398.0,4334.0,4300.0,4874.0
11256.0,0.12029549708627374,0.184860975317642,,40.80311,-73.95825,3582.0,4034.0,4538.0,4313.0
11257.0,,0.19524785296309877,,40.75848,-73.88968,224.0,442.0,247.0,180.0
11270.0,0.24802250970326134,,,40.74858,-73.9522,929.0,796.0,1166.0,1327.0
11272.0,,0.5502074163943371,,40.70476,-74.01496,4753.0,5246.0,7229.0,6992.0
11277.0,2.5801860170832915,0.6069008081305527,0.14588955618928678,40.721709999999995,-73.95065,1893.0,2469.0,2939.0,2997.0
11278.0,0.1476956076162932,0.4429590374530523,,40.70084,-73.99498,1334.0,1370.0,1243.0,1224.0
11279.0,0.10559868840314768,,,40.77749,-73.94291,3410.0,3805.0,4018.0,3726.0
11287.0,0.18426582696262828,,,40.741170000000004,-73.88011,793.0,680.0,672.0,714.0
11293.0,,0.33380557120941723,0.8180578954243738,40.74877,-73.89636,2073.0,1534.0,1515.0,1144.0
11298.0,0.28196397324533473,,0.2436767334937553,40.71648,-73.99282,3086.0,3680.0,3553.0,3832.0
11346.0,,,1.0427261357414888,40.68305,-74.00366,2411.0,2512.0,2222.0,2452.0
11359.0,,0.45985640087248747,,40.66114,-73.99005,1626.0,1880.0,1983.0,1895.0
11384.0,,,0.8417054340875643,40.7402,-73.89974000000001,796.0,962.0,1466.0,1047.0
11389.0,,,0.18975275423224014,40.85013,-73.91162,52.0,155.0,410.0,125.0
11414.0,,,0.1376708831643263,40.83081,-73.94713,4624.0,4987.0,5065.0,5332.0
1142.0,,2.1622451412232357,,40.7119,-74.01439,3605.0,3216.0,6286.0,4191.0
1143.0,0.2820209777317231,0.5483875870054808,,40.80249,-73.95291999999999,3140.0,3753.0,4900.0,4486.0
11434.0,0.7687646166069417,,0.19160590017913215,40.75323,-73.94671,1147.0,764.0,823.0,599.0
11437.0,0.1663661247326247,,0.37795123571315203,40.73272,-73.95806,4873.0,5710.0,6200.0,7576.0
11487.0,0.9134538434985269,,0.29488427433832154,40.71074,-73.94547,2866.0,4140.0,3988.0,4458.0
11521.0,0.5687396443964228,0.17569476244824211,0.16194866291394483,40.75662,-74.00001999999999,1033.0,698.0,577.0,354.0
11532.0,1.1632533650122214,,1.7592502479174592,40.68468,-74.00133000000001,1877.0,2186.0,2043.0,2174.0
11538.0,0.09918372676389153,,,40.800540000000005,-73.96191999999999,6569.0,7451.0,6829.0,6799.0
11554.0,0.17255592661422736,,,40.77491,-73.9282,1029.0,983.0,972.0,1054.0
11555.0,,0.26026604624906713,,40.7464,-73.95025,944.0,1162.0,1067.0,1180.0
11561.0,,,1.4215622677894575,40.75182,-73.93833000000001,2213.0,2325.0,2277.0,2687.0
11563.0,0.11246501279454035,,,40.75777,-73.89997,492.0,398.0,328.0,279.0
11568.0,0.8658046147169884,,,40.711909999999996,-74.00604,4876.0,8033.0,15552.0,17497.0
11585.0,0.10540034365337725,,,40.75918,-73.93918000000001,363.0,257.0,199.0,115.0
11586.0,0.2542902138235539,0.84949208722368,,40.75691,-73.99548,2300.0,2602.0,3338.0,2751.0
11614.0,,,0.7557123930701872,40.74165,-73.95172,885.0,1168.0,1312.0,824.0
11630.0,,,1.0193812882696767,40.692190000000004,-74.00003000000001,634.0,959.0,1662.0,1350.0
11653.0,2.1532547166422065,0.7742480368141951,0.16695218704996595,40.66446,-73.99401999999999,1897.0,2408.0,2935.0,3013.0
11660.0,,,0.8632386913586769,40.74445,-73.92983000000001,529.0,592.0,1293.0,725.0
11675.0,,6.244294757040104,,40.73811,-73.88549,1551.0,1818.0,1729.0,1855.0
11676.0,,0.32187969578951825,,40.75027,-74.00828,4401.0,2845.0,3260.0,2094.0
11684.0,,,0.5654430566328632,40.84544,-73.93868,2464.0,2494.0,2436.0,2643.0
11685.0,,1.4933900085283005,,40.7752,-73.90455,1674.0,1927.0,2136.0,1974.0
11703.0,,,0.14891519318507407,40.8146,-73.94411,4142.0,4581.0,5064.0,5365.0
11725.0,,0.6817253670790298,1.3009773565148604,40.69471,-73.93121,1650.0,2404.0,2876.0,3982.0
11733.0,0.19605468137474102,0.2919445080524794,,40.84916,-73.93930999999999,5322.0,6374.0,7811.0,7287.0
11738.0,0.24012548890083973,,,40.685190000000006,-73.97703,2145.0,2391.0,1916.0,2086.0
11739.0,3.054899970635952,0.22191976312114248,,40.70061,-73.99006999999999,1924.0,2684.0,2962.0,2099.0
11741.0,0.2467841315227557,,,40.76397,-73.92266,4396.0,5350.0,5757.0,5639.0
11748.0,,8.788901866091425,,40.76943,-73.91024,1528.0,1917.0,2631.0,2499.0
11751.0,,,1.0237077692346146,40.7171,-73.95212,1554.0,1757.0,2845.0,3668.0
11752.0,,0.30598799539208077,,40.827059999999996,-73.94986,4150.0,4616.0,5568.0,5653.0
11763.0,,,0.8879202537685127,40.8096,-73.94774,2339.0,2253.0,2302.0,2555.0
11770.0,,4.030607231535134,0.6287863152364901,40.71697,-73.949,1613.0,2012.0,2772.0,3204.0
11778.0,,,4.03761937014831,40.80451,-73.94569,1726.0,2007.0,1904.0,1738.0
11786.0,,,0.17492946173241575,40.71549,-73.97818000000001,1223.0,1360.0,1540.0,1433.0
11798.0,0.2236922781261459,,,40.86777,-73.92591999999999,2080.0,2300.0,2263.0,2155.0
1180.0,,,1.154686432528159,40.71056,-73.99414,1493.0,1652.0,1886.0,1782.0
11827.0,0.1420852983622618,,,40.806290000000004,-73.95772,2037.0,2218.0,2038.0,1852.0
11838.0,,0.2147314456399374,,40.758390000000006,-73.89062,142.0,417.0,189.0,142.0
